tcp.flags,tcp.time_delta,tcp.len,mqtt.conack.flags,mqtt.conack.flags.reserved,mqtt.conack.flags.sp,mqtt.conack.val,mqtt.conflag.cleansess,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.uname,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.topic,mqtt.msg,mqtt.msgid,mqtt.msgtype,mqtt.proto_len,mqtt.protoname,mqtt.qos,mqtt.retain,mqtt.sub.qos,mqtt.suback.qos,mqtt.ver,mqtt.willmsg,mqtt.willmsg_len,mqtt.willtopic,mqtt.willtopic_len,Line_origin,Line_prediction
"0x0018","0.010426438","20",,,,,,,,,,,,,"0","0x30",,"18","iot/move","302e353630303030",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.016629750","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","33302e353033313734",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.018173793","19",,,,,,,,,,,,,"0","0x30",,"17","iot/intensity","3333",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.008532867","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","32372e353231363431",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.007882458","20",,,,,,,,,,,,,"0","0x30",,"18","iot/move","302e373035363030",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.008770364","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","32312e323733363732",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.008910675","19",,,,,,,,,,,,,"0","0x30",,"17","iot/intensity","3638",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.011439811","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","32382e393133303139",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.007779230","19",,,,,,,,,,,,,"0","0x30",,"17","iot/intensity","3837",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.000986498","29",,,,,"1","0","0","0","0","0","0","0x02",,"0x10","60","27",,,,"1","4","MQTT",,,,,"4",,,,,UNKNOWN,legitimate
