sample,wall_time_s,cpu_time_s,cpu_percent,ram_change_mb,pred_idx
121,2.3725000119156903e-05,2.377499999983712e-05,100.2107476519667,0.0,3
122,2.3885999780759448e-05,2.3954999999631355e-05,100.28887306164798,0.0,1
123,2.4166000002878718e-05,2.421499999982757e-05,100.20276420153526,0.0,0
124,2.4266000309580704e-05,2.431600000019074e-05,100.20604833912532,0.0,3
125,2.3654999949940247e-05,2.3724999999696905e-05,100.29592073517139,0.0,1
126,2.3425000108545646e-05,2.3453999999922814e-05,100.1237988953801,0.0,3
127,2.3394999971060315e-05,2.344500000006633e-05,100.21372100477821,0.0,1
128,2.3255000087374356e-05,2.3354000000086472e-05,100.42571452307097,0.0,0
129,2.8034000024490524e-05,2.8122999999879994e-05,100.31747155351258,0.0,1
130,2.3515000066254288e-05,2.3574000000081696e-05,100.25090339639029,0.0,2
131,2.3103999865270453e-05,2.31939999997266e-05,100.38954352052016,0.0,3
132,2.321500005564303e-05,2.3284000000067806e-05,100.29722138384403,0.0,1
133,2.3164000140241114e-05,2.3313999999885482e-05,100.64755594343045,0.0,2
134,2.3415000214299653e-05,2.3475000000328095e-05,100.25624507998852,0.0,2
135,2.343500000279164e-05,2.3514000000002255e-05,100.33710261233712,0.0,3
136,3.5228000342613086e-05,3.533699999991313e-05,100.30941199114329,0.0,1
137,2.4746999770286493e-05,2.479599999993809e-05,100.19800472827592,0.0,2
138,2.3926000267238123e-05,2.396500000001467e-05,100.16300147262787,0.0,1
139,2.338499962206697e-05,2.3534000000324795e-05,100.63716220083758,0.0,1
140,2.3315000362345017e-05,2.3434000000044364e-05,100.51039946750993,0.0,0
141,2.3275000330613693e-05,2.3373999999964923e-05,100.42534766034359,0.0,1
142,2.3415000214299653e-05,2.3514000000002255e-05,100.42280497457415,0.0,1
143,2.326499998162035e-05,2.3353000000003732e-05,100.3782506703327,0.0,2
144,2.3274999875866342e-05,2.3324000000268796e-05,100.21052685140188,0.0,3
145,2.3364999833574984e-05,2.348399999974049e-05,100.50930951000696,0.0,0
146,2.374599989707349e-05,2.383399999983382e-05,100.37058916508788,0.0,2
147,2.3585000235470943e-05,2.367500000000078e-05,100.38159747140676,0.0,3
148,2.7643000066746026e-05,2.7782000000087237e-05,100.50283953625,0.0,3
149,2.414700020381133e-05,2.4225000000210883e-05,100.32302064745599,0.0,1
150,2.3584999780723592e-05,2.3704000000179803e-05,100.50455891694972,0.0,2
151,2.3345000045082998e-05,2.3434000000044364e-05,100.38123775878987,0.0,1
152,2.3255000087374356e-05,2.333400000020802e-05,100.33971151381142,0.0,1
153,2.278299962199526e-05,2.2872999999812293e-05,100.39503304793169,0.0,0
154,2.329400012968108e-05,2.3364000000025698e-05,100.30050600993783,0.0,1
155,2.312500009793439e-05,2.3223999999988365e-05,100.42810768274471,0.0,3
156,2.3103999865270453e-05,2.317400000029224e-05,100.30297842551067,0.0,0
157,2.31839999287331e-05,2.3243999999866816e-05,100.25879947946063,0.0,1
158,2.3374999727820978e-05,2.344399999998359e-05,100.2951883335446,0.0,0
159,2.3254000097949756e-05,2.3303999999946257e-05,100.21501634895455,0.0,1
